ElementId,Category,LOD_Stage,loin_pass,missing_list,lod_score,final_status,checked_on
﻿﻿1664302,Cable Trays,LOD300,1,,0.99999463,Compliant,30-08-2025 15:46
﻿﻿1664315,Cable Trays,LOD300,1,,0.99999463,Compliant,30-08-2025 15:46
﻿﻿1664326,Cable Trays,LOD300,1,Model:missing,3.54E-05,Needs Review,30-08-2025 15:46
﻿﻿1664337,Cable Trays,LOD300,1,,0.99999463,Compliant,30-08-2025 15:46
﻿﻿1664348,Cable Trays,LOD300,1,,0.99999463,Compliant,30-08-2025 15:46
﻿﻿1666346,Cable Trays,LOD300,1,,0.99999463,Compliant,30-08-2025 15:46
﻿﻿1666347,Cable Trays,LOD300,1,,0.99999463,Compliant,30-08-2025 15:46
﻿﻿1666348,Cable Trays,LOD300,1,Model:missing,3.54E-05,Needs Review,30-08-2025 15:46
﻿﻿1666349,Cable Trays,LOD300,1,,0.99999463,Compliant,30-08-2025 15:46
﻿﻿1666350,Cable Trays,LOD300,1,,0.99999463,Compliant,30-08-2025 15:46
﻿﻿1666427,Cable Trays,LOD300,1,,0.99999463,Compliant,30-08-2025 15:46
﻿﻿1666428,Cable Trays,LOD300,1,,0.99999463,Compliant,30-08-2025 15:46
﻿﻿1666429,Cable Trays,LOD300,1,Model:missing,3.54E-05,Needs Review,30-08-2025 15:46
﻿﻿1666430,Cable Trays,LOD300,1,,0.99999463,Compliant,30-08-2025 15:46
﻿﻿1666431,Cable Trays,LOD300,1,,0.99999463,Compliant,30-08-2025 15:46
﻿﻿1666513,Cable Trays,LOD300,1,,0.99999463,Compliant,30-08-2025 15:46
﻿﻿1666514,Cable Trays,LOD300,1,,0.99999463,Compliant,30-08-2025 15:46
﻿﻿1666515,Cable Trays,LOD300,1,Model:missing,3.54E-05,Needs Review,30-08-2025 15:46
﻿﻿1666516,Cable Trays,LOD300,1,,0.99999463,Compliant,30-08-2025 15:46
﻿﻿1666517,Cable Trays,LOD300,1,,0.99999463,Compliant,30-08-2025 15:46
﻿﻿1666599,Cable Trays,LOD300,1,,0.99999463,Compliant,30-08-2025 15:46
﻿﻿1666600,Cable Trays,LOD300,1,,0.99999463,Compliant,30-08-2025 15:46
﻿﻿1666601,Cable Trays,LOD300,1,Model:missing,3.54E-05,Needs Review,30-08-2025 15:46
﻿﻿1666602,Cable Trays,LOD300,1,,0.99999463,Compliant,30-08-2025 15:46
﻿﻿1666603,Cable Trays,LOD300,1,,0.99999463,Compliant,30-08-2025 15:46
